key,value,date
Drug Dealers,76398,01/01/09
Drug Dealers,81234,01/01/10
Drug Dealers,81234,01/01/11
Drug Dealers,81234,01/01/12
Drug Dealers,81234,01/01/13
Drug Dealers,87856,01/01/14
Ebola patients,46718,01/01/75
Ebola patients,46718,01/01/76
Ebola patients,46718,01/01/77
Ebola patients,46718,01/01/78
Ebola patients,46718,01/01/79
Ebola patients,53231,01/01/80
Ebola patients,53231,01/01/81
Ebola patients,53231,01/01/82
Ebola patients,53231,01/01/83
Ebola patients,53231,01/01/84
Ebola patients,45124,01/01/85
Ebola patients,45124,01/01/86
Ebola patients,45124,01/01/87
Ebola patients,45124,01/01/88
Ebola patients,45124,01/01/89
Ebola patients,37891,01/01/90
Ebola patients,37891,01/01/91
Ebola patients,37891,01/01/92
Ebola patients,37891,01/01/93
Ebola patients,37891,01/01/94
Ebola patients,42134,01/01/95
Ebola patients,42134,01/01/96
Ebola patients,42134,01/01/97
Ebola patients,42134,01/01/98
Ebola patients,42134,01/01/99
Ebola patients,58079,01/01/00
Ebola patients,58079,01/01/01
Ebola patients,58079,01/01/02
Ebola patients,58079,01/01/03
Ebola patients,58079,01/01/04
Ebola patients,60134,01/01/05
Ebola patients,60134,01/01/06
Ebola patients,60134,01/01/07
Ebola patients,60134,01/01/08
Ebola patients,60134,01/01/09
Ebola patients,53483,01/01/10
Ebola patients,53483,01/01/11
Ebola patients,53483,01/01/12
Ebola patients,53483,01/01/13
Ebola patients,61545,01/01/14
